"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19640";"POÇO DANTAS";"19640";"POÇO DANTAS";53;13;"Vereador";3859;10;9;0;19;3373;0;486;"N";3373;3207;2875;2725;150;150;0;0;0;0;332;0;0;25;141;141;0;0;"19:25:23";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20931";"MONTE HOREBE";"20931";"MONTE HOREBE";40;13;"Vereador";3875;11;0;0;11;3218;0;657;"N";3218;3045;3045;2858;187;187;0;0;0;0;0;0;0;20;153;150;3;0;"21:42:52";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20850";"MASSARANDUBA";"20850";"MASSARANDUBA";16;13;"Vereador";11458;33;1;0;34;9844;0;1614;"N";9844;9244;9244;8702;542;542;0;0;0;0;0;0;0;217;383;381;2;0;"22:30:01";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19259";"AROEIRAS";"19259";"AROEIRAS";49;13;"Vereador";15149;44;9;0;53;13128;0;2021;"N";13128;12371;12052;11226;826;826;0;0;0;0;319;0;0;253;504;495;9;0;"21:59:35";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21750";"SANTA RITA";"21750";"SANTA RITA";3;13;"Vereador";33297;98;6;0;104;28295;0;5002;"N";28295;26125;19054;18104;950;950;0;7071;0;0;0;0;0;758;1412;1394;18;0;"10:32:46";"30/10/2023"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21792";"SÃO BENTO";"21792";"SÃO BENTO";69;13;"Vereador";25855;77;9;0;86;23449;0;2406;"N";23449;22490;20569;19897;672;672;0;0;0;0;1921;0;0;226;733;733;0;0;"15:20:33";"26/07/2023"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19429";"SÃO DOMINGOS";"19429";"SÃO DOMINGOS";31;13;"Vereador";3080;10;0;0;10;2741;0;339;"N";2741;2677;2677;2543;134;134;0;0;0;0;0;0;0;12;52;52;0;0;"19:11:03";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20435";"ITAPOROROCA";"20435";"ITAPOROROCA";60;13;"Vereador";12902;40;1;0;41;11008;0;1894;"N";11008;10408;10408;9859;549;549;0;0;0;0;0;0;0;169;431;431;0;0;"19:24:52";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19615";"CAAPORÃ";"19615";"CAAPORÃ";73;13;"Vereador";16126;48;6;0;54;14311;0;1815;"N";14311;13592;13586;12957;629;629;0;6;0;0;0;0;0;241;478;478;0;0;"08:25:00";"18/12/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21091";"OLHO D ÁGUA";"21091";"OLHO D ÁGUA";66;11;"Prefeito";6857;23;3;0;26;5871;0;986;"N";5871;5626;5626;5626;0;0;0;0;0;0;0;0;0;45;200;200;0;0;"21:41:34";"15/11/2020"
"06/01/2026";"16:45:21";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"PB";"22314";"TAPEROÁ";"22314";"TAPEROÁ";27;11;"Prefeito";10756;29;0;0;29;8792;0;1964;"N";8792;8382;8382;8382;0;0;0;0;0;0;0;0;0;87;323;323;0;0;"20:12:29";"15/11/2020"
